epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.718,1.82374,7.65299,0.01291,0.21224,0.32044,0.18621,0.07039,1.53513,8.91627,0.01298,0.000656085,0.000656085,0.000656085
2,74.9976,1.78031,5.55548,0.01205,0.39967,0.38122,0.36431,0.12119,1.82856,5.63058,0.01556,0.00130966,0.00130966,0.00130966
3,96.1206,1.87096,4.14575,0.01276,0.41106,0.38122,0.35005,0.12248,1.92232,2.95731,0.01643,0.00195003,0.00195003,0.00195003
4,118.894,1.83636,3.32624,0.013,0.51685,0.47514,0.45258,0.16163,1.90205,2.34231,0.01627,0.0019406,0.0019406,0.0019406
5,139.24,1.91512,2.70851,0.01345,0.47118,0.52486,0.46582,0.17346,1.90315,1.93411,0.01601,0.0019208,0.0019208,0.0019208
6,160.399,1.9276,2.40545,0.01349,0.5059,0.56354,0.49781,0.18147,1.87375,1.89137,0.01562,0.001901,0.001901,0.001901
7,181.582,1.87014,2.22277,0.01283,0.55425,0.57459,0.57843,0.2226,1.81794,1.74763,0.01513,0.0018812,0.0018812,0.0018812
8,202.375,1.94488,2.10477,0.01378,0.644,0.61878,0.6042,0.24581,1.86608,1.59479,0.01554,0.0018614,0.0018614,0.0018614
9,224.583,1.94932,1.98188,0.01423,0.55844,0.58694,0.52019,0.19005,2.08076,1.79438,0.01857,0.0018416,0.0018416,0.0018416
10,244.974,1.91228,1.95602,0.01367,0.61789,0.62983,0.66056,0.29134,1.86911,1.44708,0.01589,0.0018218,0.0018218,0.0018218
11,265.773,1.91633,1.88652,0.01345,0.6608,0.58011,0.62725,0.24288,2.03157,1.57791,0.01802,0.001802,0.001802,0.001802
12,287.28,1.90295,1.83904,0.0132,0.65126,0.61878,0.64501,0.21998,2.12239,1.57211,0.01912,0.0017822,0.0017822,0.0017822
13,307.638,1.90042,1.77754,0.01357,0.67105,0.66298,0.63691,0.26465,1.96185,1.49296,0.01692,0.0017624,0.0017624,0.0017624
14,328.819,1.87919,1.79945,0.01317,0.663,0.61326,0.65053,0.25584,2.04517,1.46221,0.0174,0.0017426,0.0017426,0.0017426
15,350.107,1.92568,1.68103,0.01358,0.68326,0.69061,0.64275,0.2479,2.11628,1.39344,0.01781,0.0017228,0.0017228,0.0017228
16,370.716,1.85575,1.60088,0.01304,0.69324,0.67956,0.67907,0.2669,2.07714,1.39963,0.0173,0.001703,0.001703,0.001703
17,392.094,1.83738,1.64805,0.01279,0.69773,0.72694,0.70824,0.29825,1.93326,1.31741,0.01665,0.0016832,0.0016832,0.0016832
18,412.924,1.86392,1.59941,0.0131,0.70109,0.69061,0.6919,0.27297,2.06933,1.32232,0.01777,0.0016634,0.0016634,0.0016634
19,433.374,1.85275,1.55165,0.01301,0.67634,0.66851,0.68395,0.27395,1.9518,1.32885,0.01636,0.0016436,0.0016436,0.0016436
20,455.293,1.88356,1.56538,0.01308,0.69285,0.63536,0.69154,0.28089,2.02565,1.2678,0.01776,0.0016238,0.0016238,0.0016238
21,475.658,1.81222,1.54637,0.01274,0.70348,0.69061,0.70398,0.28653,2.02123,1.39698,0.01759,0.001604,0.001604,0.001604
22,496.248,1.87023,1.5917,0.01317,0.74379,0.67403,0.71691,0.28471,1.99106,1.30412,0.01696,0.0015842,0.0015842,0.0015842
23,519.028,1.89312,1.56731,0.01304,0.80831,0.67956,0.75732,0.30235,2.06397,1.19649,0.01808,0.0015644,0.0015644,0.0015644
24,541.144,1.85872,1.48986,0.01288,0.68652,0.66547,0.66294,0.26743,2.02513,1.41474,0.01691,0.0015446,0.0015446,0.0015446
25,564.981,1.83735,1.49327,0.01264,0.73935,0.69061,0.7071,0.29283,2.04725,1.18653,0.01757,0.0015248,0.0015248,0.0015248
26,585.571,1.83666,1.46816,0.01254,0.77853,0.67403,0.74345,0.30198,2.05569,1.1668,0.01764,0.001505,0.001505,0.001505
27,606.003,1.82553,1.38212,0.01304,0.74525,0.66298,0.69944,0.28575,2.08106,1.19201,0.01784,0.0014852,0.0014852,0.0014852
28,627.598,1.7714,1.47151,0.0128,0.73045,0.72376,0.73953,0.32282,1.96404,1.07903,0.01673,0.0014654,0.0014654,0.0014654
29,647.763,1.84956,1.39883,0.01299,0.81933,0.67403,0.77516,0.32839,1.99105,1.09844,0.01696,0.0014456,0.0014456,0.0014456
30,668.496,1.81276,1.35368,0.01266,0.74259,0.74586,0.74067,0.29696,2.03546,1.17219,0.01765,0.0014258,0.0014258,0.0014258
31,689.471,1.81857,1.39074,0.01283,0.75064,0.67956,0.71535,0.29919,2.0315,1.19338,0.01724,0.001406,0.001406,0.001406
32,708.72,1.7987,1.35882,0.01238,0.7405,0.69613,0.72106,0.30699,2.04675,1.12883,0.0177,0.0013862,0.0013862,0.0013862
33,728.774,1.79806,1.34071,0.01259,0.7109,0.72376,0.73702,0.2948,2.11014,1.13086,0.01826,0.0013664,0.0013664,0.0013664
34,749.872,1.75435,1.30567,0.01224,0.74894,0.74165,0.76855,0.33318,1.92534,1.0836,0.0163,0.0013466,0.0013466,0.0013466
