epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0004,1.91298,4.16074,0.01343,0.44765,0.37569,0.38344,0.15612,1.86066,2.51057,0.01594,0.000656085,0.000656085,0.000656085
2,60.5043,2.12937,2.18816,0.01522,0.35664,0.34254,0.24731,0.05753,2.65939,2.42623,0.0262,0.00130966,0.00130966,0.00130966
3,82.6618,2.2197,2.04999,0.01583,0.53607,0.5235,0.45502,0.15789,2.36824,1.75193,0.02087,0.00195003,0.00195003,0.00195003
4,105.426,2.20089,1.93196,0.01635,0.64623,0.58564,0.56165,0.17609,2.39072,1.62004,0.0224,0.0019406,0.0019406,0.0019406
5,127.511,2.17561,1.78176,0.01608,0.68391,0.60221,0.63152,0.19844,2.19464,1.64977,0.01925,0.0019208,0.0019208,0.0019208
6,150.201,2.1733,1.77627,0.01589,0.68953,0.61326,0.63033,0.21379,2.18965,1.508,0.01957,0.001901,0.001901,0.001901
7,172.416,2.11057,1.71816,0.01503,0.71469,0.71823,0.72419,0.29542,2.04592,1.25922,0.01785,0.0018812,0.0018812,0.0018812
8,195.903,2.09858,1.74951,0.01528,0.62833,0.68508,0.62746,0.21898,2.24414,1.36566,0.02112,0.0018614,0.0018614,0.0018614
9,217.399,2.08213,1.70309,0.01544,0.72049,0.67403,0.68093,0.25978,2.16063,1.46666,0.01979,0.0018416,0.0018416,0.0018416
10,240.883,2.06478,1.66207,0.01512,0.74437,0.64354,0.72479,0.29152,2.06146,1.29656,0.01777,0.0018218,0.0018218,0.0018218
11,262.574,2.04103,1.67848,0.01465,0.63081,0.62983,0.64858,0.23956,2.06426,1.57249,0.01764,0.001802,0.001802,0.001802
12,285.85,2.03195,1.6578,0.01427,0.69327,0.63686,0.7063,0.25928,2.09094,1.40501,0.01863,0.0017822,0.0017822,0.0017822
13,307.482,2.03233,1.54518,0.01493,0.755,0.68508,0.70502,0.2891,2.10539,1.13141,0.01829,0.0017624,0.0017624,0.0017624
14,329.973,2.03638,1.5281,0.01465,0.70398,0.68322,0.72081,0.29024,2.07642,1.24286,0.01826,0.0017426,0.0017426,0.0017426
15,352.215,1.99547,1.53269,0.01435,0.7476,0.62983,0.71594,0.29967,2.02362,1.26335,0.01764,0.0017228,0.0017228,0.0017228
16,374.353,1.9413,1.44594,0.01401,0.75004,0.69613,0.76673,0.32596,1.97009,1.21338,0.01689,0.001703,0.001703,0.001703
17,396.904,1.93173,1.42265,0.01368,0.83461,0.68508,0.77384,0.32515,2.03807,1.10087,0.01757,0.0016832,0.0016832,0.0016832
18,418.1,1.93096,1.42323,0.01376,0.77496,0.70396,0.76747,0.3222,2.03723,1.12186,0.01773,0.0016634,0.0016634,0.0016634
19,441.866,1.91592,1.4266,0.01376,0.77197,0.69061,0.72367,0.3002,2.06303,1.14305,0.01766,0.0016436,0.0016436,0.0016436
20,463.275,1.93537,1.44343,0.01369,0.75695,0.65746,0.72256,0.31367,1.94064,1.17577,0.01656,0.0016238,0.0016238,0.0016238
21,487.047,1.88025,1.42135,0.0135,0.72532,0.71271,0.73391,0.33043,1.95487,1.18617,0.01705,0.001604,0.001604,0.001604
22,508.557,1.92595,1.40593,0.01388,0.76812,0.75138,0.77193,0.31833,1.97686,1.11475,0.01711,0.0015842,0.0015842,0.0015842
23,531.739,1.94115,1.41776,0.01347,0.77419,0.72928,0.78949,0.31676,2.06439,1.08683,0.01788,0.0015644,0.0015644,0.0015644
24,553.033,1.91254,1.34931,0.01356,0.83359,0.71271,0.80056,0.32555,1.96574,1.16466,0.01677,0.0015446,0.0015446,0.0015446
25,575.144,1.8752,1.31813,0.01304,0.74015,0.70718,0.74131,0.31731,1.98294,1.10954,0.01696,0.0015248,0.0015248,0.0015248
26,597.669,1.883,1.29297,0.01294,0.80863,0.70166,0.75816,0.31857,2.07279,1.02995,0.01789,0.001505,0.001505,0.001505
27,619.303,1.81717,1.28126,0.01305,0.78294,0.71823,0.77765,0.34607,1.95084,1.03837,0.01663,0.0014852,0.0014852,0.0014852
28,642.146,1.80205,1.25753,0.01322,0.80826,0.76243,0.81666,0.35756,1.91123,1.05731,0.0166,0.0014654,0.0014654,0.0014654
29,664.015,1.86698,1.22008,0.01313,0.78753,0.71675,0.76683,0.3254,2.01756,1.03276,0.01724,0.0014456,0.0014456,0.0014456
30,687.248,1.79084,1.24215,0.01268,0.77041,0.77901,0.78101,0.34185,2.05401,0.97733,0.01777,0.0014258,0.0014258,0.0014258
31,708.557,1.80712,1.22533,0.01299,0.73271,0.75691,0.72516,0.30137,2.06904,1.10993,0.0175,0.001406,0.001406,0.001406
32,734.079,1.81726,1.17769,0.01269,0.79323,0.78422,0.78617,0.35375,2.01832,0.98615,0.01726,0.0013862,0.0013862,0.0013862
33,760.358,1.7791,1.23494,0.01256,0.8302,0.78453,0.81851,0.34071,2.0011,0.97329,0.01711,0.0013664,0.0013664,0.0013664
34,782.619,1.74935,1.1813,0.01233,0.82026,0.74033,0.78745,0.36548,1.93626,0.97411,0.0165,0.0013466,0.0013466,0.0013466
35,804.505,1.80367,1.20146,0.01304,0.76287,0.72376,0.78531,0.32576,2.05995,1.07064,0.01784,0.0013268,0.0013268,0.0013268
36,827.597,1.79833,1.13641,0.01271,0.81696,0.73979,0.78965,0.35215,1.9845,1.01409,0.01683,0.001307,0.001307,0.001307
37,849.101,1.79256,1.12781,0.01226,0.85454,0.71823,0.81389,0.35969,1.96846,0.96432,0.01711,0.0012872,0.0012872,0.0012872
38,872.521,1.78884,1.23503,0.0128,0.83996,0.78291,0.83532,0.36507,2.0354,0.92551,0.01765,0.0012674,0.0012674,0.0012674
39,894.461,1.75215,1.08597,0.01229,0.73853,0.76466,0.76628,0.36201,1.9753,0.93731,0.01719,0.0012476,0.0012476,0.0012476
40,917.9,1.70729,1.08245,0.01169,0.85128,0.75897,0.81319,0.36795,1.97613,0.88747,0.01693,0.0012278,0.0012278,0.0012278
41,939.384,1.71699,1.14772,0.01188,0.82767,0.7695,0.81441,0.35704,1.96556,1.0064,0.01714,0.001208,0.001208,0.001208
42,962.617,1.68831,1.07691,0.01182,0.81567,0.7579,0.81716,0.37281,1.95739,0.89724,0.01677,0.0011882,0.0011882,0.0011882
43,983.898,1.72996,1.08574,0.01206,0.82022,0.77348,0.81076,0.35305,2.00568,0.93595,0.01725,0.0011684,0.0011684,0.0011684
44,1006.07,1.7251,1.11578,0.01176,0.82398,0.75002,0.80804,0.34238,1.95478,1.03331,0.0167,0.0011486,0.0011486,0.0011486
45,1028.49,1.68643,1.0495,0.01194,0.77806,0.74033,0.76683,0.3571,1.93851,1.01626,0.01655,0.0011288,0.0011288,0.0011288
46,1050.78,1.68592,1.05595,0.01172,0.83905,0.77765,0.81491,0.37965,1.92793,0.95089,0.01646,0.001109,0.001109,0.001109
47,1073.25,1.67542,1.02921,0.01139,0.82547,0.73167,0.81076,0.36361,1.94209,0.91707,0.0165,0.0010892,0.0010892,0.0010892
48,1094.47,1.66798,1.05954,0.01154,0.81592,0.75691,0.78026,0.37485,1.91973,0.90912,0.01628,0.0010694,0.0010694,0.0010694
49,1117.66,1.67237,1.01947,0.01154,0.83472,0.75138,0.77093,0.36146,1.98325,0.92952,0.01705,0.0010496,0.0010496,0.0010496
50,1139.34,1.64235,1.02057,0.01131,0.78757,0.77348,0.79368,0.38323,1.90749,0.87856,0.01624,0.0010298,0.0010298,0.0010298
51,1162.54,1.64274,1.02985,0.01133,0.84404,0.77901,0.82377,0.38565,1.94136,0.90662,0.01653,0.00101,0.00101,0.00101
52,1184.11,1.62171,1.01002,0.01158,0.85577,0.75396,0.8135,0.38093,1.96897,0.88325,0.01664,0.0009902,0.0009902,0.0009902
53,1207.2,1.63495,0.99825,0.01154,0.87382,0.77348,0.81362,0.37738,1.96759,0.88517,0.01685,0.0009704,0.0009704,0.0009704
54,1228.58,1.6555,1.03952,0.01143,0.76571,0.75691,0.78123,0.36233,1.97094,0.88478,0.01699,0.0009506,0.0009506,0.0009506
55,1250.86,1.60356,1.03313,0.01088,0.82305,0.72376,0.76559,0.36437,1.93852,0.92584,0.01643,0.0009308,0.0009308,0.0009308
56,1272.83,1.58147,0.96015,0.01073,0.83404,0.77745,0.81205,0.36108,2.012,0.80462,0.01729,0.000911,0.000911,0.000911
57,1294.19,1.60084,1.00623,0.01095,0.80508,0.76796,0.79597,0.36979,1.95918,0.95309,0.01671,0.0008912,0.0008912,0.0008912
58,1316.99,1.53488,0.95675,0.01045,0.83636,0.7624,0.8003,0.37709,1.97932,0.94042,0.01683,0.0008714,0.0008714,0.0008714
59,1337.99,1.59011,0.98495,0.01087,0.82904,0.75138,0.80224,0.37908,1.94316,0.91947,0.01652,0.0008516,0.0008516,0.0008516
60,1360.91,1.58238,0.95504,0.0108,0.83421,0.76243,0.79718,0.37367,1.97414,0.86575,0.01673,0.0008318,0.0008318,0.0008318
61,1382.54,1.56625,0.89988,0.01079,0.79318,0.78397,0.7871,0.35851,2.05192,0.85166,0.01754,0.000812,0.000812,0.000812
62,1404.85,1.56464,0.93178,0.01051,0.79601,0.76796,0.78783,0.35433,1.95031,0.88176,0.01648,0.0007922,0.0007922,0.0007922
63,1426.94,1.52375,0.92854,0.01043,0.85691,0.72792,0.81393,0.36913,1.98146,0.90787,0.01687,0.0007724,0.0007724,0.0007724
64,1448.89,1.55062,0.93605,0.0102,0.77337,0.75413,0.78057,0.36675,1.94337,0.95104,0.01654,0.0007526,0.0007526,0.0007526
65,1471.04,1.52902,0.91634,0.01045,0.80197,0.76072,0.80086,0.36174,1.95924,0.92671,0.01658,0.0007328,0.0007328,0.0007328
66,1492.27,1.54061,0.89875,0.01069,0.8371,0.73819,0.78322,0.35083,1.9909,0.98545,0.01701,0.000713,0.000713,0.000713
67,1515.48,1.51333,0.90526,0.01014,0.82903,0.72928,0.7963,0.37189,1.96764,0.93085,0.01688,0.0006932,0.0006932,0.0006932
